ExamNumber	Question	A	B	C	D	Answer	Explanation
2	"이 수요곡선의 기울기가 가파르므로 비탄력적이다"는 주장은?	항상 맞다	틀렸다 (기울기 ≠ 탄력성)	곡선이 직선일 때만 맞다	가격 수준에 따라 다르다	B	기울기와 탄력성은 다른 개념이다. 같은 기울기의 곡선도 가격 수준에 따라 탄력성이 다르다.
2	관세 부과 시 국내 생산량과 소비량의 변화는?	생산량 증가, 소비량 증가	생산량 증가, 소비량 감소	생산량 감소, 소비량 증가	생산량 감소, 소비량 감소	B	관세 → 가격 ↑ → 국내 생산자는 더 생산, 소비자는 덜 소비.
2	PPF 곡선 내부의 점은?	효율적인 생산	비효율적인 생산	생산 불가능	최적의 생산 조합	B	PPF 곡선 위의 점 = 효율적, 곡선 내부 = 비효율적 (생산요소 낭비), 곡선 외부 = 생산불가능.
2	담배세를 부과했을 때, 담배 수요가 비탄력적이라면?	세수가 적을 것이다	수요량이 크게 감소할 것이다	세수가 많을 것이다	담배 가격이 변하지 않을 것이다	C	비탄력적(E < 1) → 가격 ↑ → 수요량 감소폭 작음 → 세수(T × Q) 많음.
2	어떤 소비자의 지불용의가 10,000원이고, 시장가격이 8,000원이면?	소비자잉여는 2,000원	소비자는 구매하지 않는다	소비자잉여는 8,000원	소비자잉여는 -2,000원	A	소비자잉여 = 지불용의 - 실제 가격 = 10,000 - 8,000 = 2,000원.
2	경제적 이윤(Economic Profit)과 회계이윤(Accounting Profit)의 차이는?	같은 개념이다	경제적 이윤에는 기회비용이 포함된다	회계이윤에는 명시적 비용만 포함된다	B와 C가 모두 맞다	D	경제적 이윤 = 매출 - (명시적 비용 + 기회비용), 회계이윤 = 매출 - 명시적 비용.
2	임대료 규제가 오래 지속되면 일어나는 현상은?	주택 공급이 증가한다	주택이 낡아지고 질이 나빠진다 (슬럼화)	임대료가 자동으로 올라간다	세입자 모두가 만족한다	B	장기에는 집주인이 주택 유지와 신축에 투자하지 않아 주택 질 악화.
2	교환비율(Terms of Trade)이 결정되는 범위는?	국제가격에 의해 완전히 결정된다	양쪽 국가의 기회비용 사이에서 결정된다	더 강한 국가가 결정한다	정부의 협상에 의해 완전히 결정된다	B	교환비율이 양쪽의 기회비용보다 유리해야 둘 다 교역할 동기가 생긴다.
2	소규모개방경제(Small Open Economy)의 정의로 가장 적절한 것은?	인구가 적은 경제	GDP가 작은 경제	국제가격에 영향을 미치지 못하는 경제	개발도상국 경제	C	소규모개방경제는 국제가격의 가격수용자다.
2	직선 수요곡선에서 가격이 높을 때와 낮을 때의 탄력성을 비교하면?	항상 같다	가격이 높을 때 더 탄력적이다	가격이 낮을 때 더 탄력적이다	기울기에만 의존한다	B	직선 수요곡선의 특성: 상단(높은 가격) = 탄력적, 하단(낮은 가격) = 비탄력적.
2	정부가 시장에 개입했는데도 문제가 해결되지 않으면?	정부의 개입 수준을 더 높여야 한다	정부실패가 발생했을 수 있다	시장경제로 완전히 전환해야 한다	경제학의 원리가 틀렸다	B	정부 개입이 항상 효율적인 것은 아니다. 이를 정부실패라고 한다.
2	"가격이 올랐는데 총수입도 올랐다"는 상황을 분석하면?	수요가 탄력적이다	수요가 비탄력적이다	수요가 단위탄력이다	분석할 수 없다	B	가격 ↑ → 총수입 ↑라는 것은 수요량 감소폭이 작다는 뜻이므로, 비탄력적(E < 1).
2	관세 부과의 결과로 발생하는 문제는?	국내 소비자 피해	국내 생산자 이득	총잉여 감소 (경제적 순손실)	A와 C가 모두 맞다	D	관세 = 세금과 유사한 효과 → 총잉여 감소, 소비자 피해, 생산자 이득.
2	기회비용 계산 예: 프랭크가 1시간에 감자 8개 또는 고기 4마리를 생산한다면, 감자 1개의 기회비용은?	고기 0.5마리	고기 2마리	고기 8마리	계산할 수 없다	A	감자 8개 = 고기 4마리이므로, 감자 1개 = 고기 0.5마리. ---
3	다음 중 기회비용이 "0"인 경우는?	구름 없는 날씨에 집에서 쉬기	이미 구매한 책을 읽기	무료로 얻은 선물을 사용하기	경제학 원리에 따르면, 없다	D	"모든 선택에는 대가가 있다." 어떤 선택을 하든 다른 선택을 포기하므로 기회비용은 항상 존재한다.
3	정상재와 열등재의 구분에서 가장 위험한 오류는?	품질 수준으로 구분하기	소득과의 관계로 구분하기	가격 수준으로 구분하기	A와 C가 모두 위험한 오류이다	D	정상재/열등재는 소득과의 관계로만 정의한다. 저가 상품이 모두 열등재는 아니고, 고가 상품이 모두 정상재는 아니다.
3	"모든 세금은 경제적 순손실을 초래한다"는 주장의 타당성은?	항상 맞다	일반적으로 맞지만 예외가 있다 (외부효과 보정)	항상 틀렸다	경제학적으로 판단 불가능	B	부정적 외부효과가 있는 재화(예: 담배)에 세금을 부과하면, 세금이 사회 비용을 반영하여 오히려 효율성을 높일 수 있다.
3	"프랭크가 모든 것을 더 잘하므로, 프랭크가 모든 것을 생산해야 한다"는 주장은?	경제학적으로 맞다	절대우위의 논리를 잘못 적용한 것이다	교역의 이득을 무시한 것이다	B와 C가 맞다	D	절대우위가 있어도 비교우위를 고려해야 교역의 이득을 실현할 수 있다.
3	"가격상한제는 소비자를 보호한다"는 주장이 항상 맞는가?	맞다 (가격이 내려가므로)	틀렸다 (물량부족으로 살 수 없는 경우 발생)	부분적으로 맞다 (일부 소비자만 보호)	경제학적으로 판단 불가능하다	B	가격은 낮지만 물량부족으로 인해 사고 싶은 사람이 모두 구매할 수 없다 → 오히려 소비자 피해.
3	"교역이 증가하면 국내 산업이 망한다"는 주장을 비교우위론으로 평가하면?	맞는 말이다 (교역의 부작용)	틀렸다 (전체 경제는 이득이다)	부분적으로 맞다 (일부 산업은 피해지만 전체는 이득)	비교우위론으로는 판단할 수 없다	C	비교우위가 약한 산업은 쇠퇴할 수 있지만, 전체 경제는 총 생산량 증가로 이득을 본다.
3	"효율성이 높으면 형평성도 높다"는 주장은?	항상 맞다	틀렸다 (둘은 독립적이다)	부분적으로 맞다	경제학적으로는 판단할 수 없다	B	효율적이어도 극도로 불공정할 수 있고, 공정해도 비효율적일 수 있다.
3	조세의 귀착(Tax Incidence)과 납세의무(Tax Obligation)의 관계는?	같은 개념이다	항상 일치한다	다를 수 있다 (법과 현실이 다를 수 있다)	경제학적으로 무관하다	C	누가 법적으로 세금을 내느냐(의무) vs 누가 실질적 부담을 지느냐(귀착)는 다를 수 있다.
3	"외부효과가 있는 시장에서 정부가 개입하면 반드시 효율성이 증가한다"는 주장은?	맞다	틀렸다 (정부 개입도 실패할 수 있다)	부분적으로 맞다	외부효과의 종류에 따라 다르다	B	정부실패: 정부의 개입도 완벽하지 않으므로, 오히려 상황을 악화시킬 수 있다.
3	"우리 제품의 수요가 완전탄력이다"라고 생각하는 기업의 전략 오류는?	가격을 올리면 수요가 0이 되므로, 가격을 낮춰야 한다	가격과 무관하게 같은 수량을 팔 수 있다고 착각	경쟁이 심한 시장에서 가격 책정 권한이 없다는 뜻	A와 C가 맞다	D	완전탄력(E = ∞) = 수평선 수요곡선 = 시장 가격 수용자 = 경쟁이 매우 심한 시장의 개별 기업.
3	"최저임금을 올리면 저숙련 근로자가 가장 많이 영향을 받는다"는 주장은?	틀렸다 (임금이 올라가므로 이득)	맞다 (일자리를 잃을 확률이 높다)	경제학적으로 판단 불가능하다	저숙련 근로자만 피해를 본다	B	저숙련 근로자가 최저임금에 주로 종사하므로, 최저임금 인상으로 인한 실업의 주요 피해자가 된다.
3	수요와 공급 분석 3단계를 올바르게 순서대로 쓴 것은?	곡선 이동 → 이동 방향 → 결과 변화	변수 판단 → 이동 방향 → 결과 변화	결과 변화 → 이동 방향 → 변수 판단	이동 방향 → 변수 판단 → 결과 변화	B	(1) 어떤 변수가 변했는가? (2) 어느 곡선이 어느 방향으로 이동하는가? (3) 균형가격과 거래량이 어떻게 변하는가?
3	수요곡선과 공급곡선이 동시에 변하면?	균형가격은 반드시 올라간다	균형거래량은 반드시 올라간다	한쪽 이동이 다른 쪽을 압도하는 정도에 따라 결과가 달라진다	시장에서 혼란이 생겨 균형을 찾을 수 없다	C	두 곡선이 동시에 이동하면 결과는 각각의 이동 정도에 따라 달라진다.
3	"세금이 작으면 경제적 순손실도 작다"는 주장의 정확성은?	항상 맞다	일반적으로 맞다 (세금의 제곱에 비례)	항상 틀렸다	탄력성에 따라 다르다	B	경제적 순손실 ∝ (세금)². 세금이 작으면 손실도 일반적으로 작지만, 탄력성의 영향도 크다.
3	세금 부과 전후의 잉여 변화를 분석하시오. 부과 전: 소비자잉여 = 1,000, 생산자잉여 = 1,000, 총잉여 = 2,000. 부과 후: 소비자잉여 = 600, 생산자잉여 = 700, 조세수입 = 500. 경제적 순손실은?	조세수입과 같다	200	700	순손실 없다	C	총잉여 감소 = 2,000 - (600 + 700) = 700. 이 중 500은 조세수입으로 이전, 200은 순수 손실.
3	유치산업 보호(Infant Industry Argument)의 문제점은?	논리 자체가 틀렸다	보호가 영구적이 될 수 있다 (철수 불가능)	비효율적 산업도 보호될 수 있다	B와 C가 모두 맞다	D	이론적으로는 타당하지만, 실제 정치 경제에서는 보호가 지속되는 경향 있음.
3	"무역으로 모든 사람이 이득을 본다"는 주장의 문제점은?	틀렸다 (누구나 이득을 본다)	총잉여는 증가하지만, 피해자도 발생한다 (분배 문제)	경제학적으로 증명 불가능	선진국에만 해당	B	무역의 경제학적 결론 = 총잉여 증가, 하지만 현실 = 일부 근로자/산업 피해 (분배 문제).
3	어떤 재화의 수요가 탄력적이고 공급이 비탄력적일 때, 세금을 부과하면?	세수가 많고 경제적 순손실이 작다	세수가 적고 경제적 순손실이 작다	세수가 많고 경제적 순손실이 크다	세수가 적고 경제적 순손실이 크다	D	수요가 탄력적 → 세금으로 거래량이 크게 감소 → 세수 적음 + 손실 큼.
3	"PPF 곡선이 직선이면 기회비용이 일정하다"는 주장에 대해?	항상 참이다	조건부로 참이다 (한계수확체감이 없을 때만)	틀렸다 (PPF 곡선은 항상 곡선이어야 한다)	기회비용 계산 방식에 따라 달라진다	B	PPF 곡선이 직선이라는 것은 한계수확체감이 없는 특수한 경우이다.
3	기회비용 계산에서 가장 흔한 실수는?	한 재화의 기회비용을 다른 재화 기준으로 잘못 계산하기	절대우위와 비교우위를 헷갈리기	기회비용의 역수를 구하지 않기	A, B, C 모두 가능하다	D	모두 흔한 실수이다. 특히 "A의 기회비용 = A 1개당 포기되는 B"를 제대로 이해하지 못하고 계산하는 경우가 많다.
3	"자유시장 균형은 최선이다"는 주장의 문제점은?	시장실패가 발생하지 않을 수도 있다	시장실패가 발생할 수 있으므로 항상 최선은 아니다	"최선"의 정의가 모호하다 (효율성 vs 형평성)	B와 C가 모두 맞다	D	완전경쟁이라도 외부효과, 시장지배력 등이 있으면 비효율적이고, "최선"은 가치 판단을 포함한다.
3	"우리 산업을 보호하기 위해 관세를 올렸다"는 정책의 경제학적 평가는?	좋은 정책이다 (산업 보호)	단기 효과는 있으나 장기 효과는 부정적일 수 있다	총잉여는 감소한다 (비효율)	B와 C가 모두 맞다	D	관세는 일시적 보호만 가능하고, 장기적으로는 산업 경쟁력 약화 + 경제적 순손실 초래.
3	레퍼 곡선에서 "최적 세율"을 결정하는 요소는?	세수 극대화 (곡선의 정점)	경제적 순손실 최소화 (곡선의 좌측)	사회의 여러 목표를 고려한 정치적·경제적 판단	C만 타당하다	C	최적 세율은 순수 경제학의 문제가 아니라, 정부의 재정 필요, 사회적 목표, 형평성 등을 종합적으로 고려한 것이다.
3	경제순환 모형에서 "기업이 판매자"가 되는 시장은?	재화·서비스 시장과 생산요소 시장 둘 다	재화·서비스 시장만	생산요소 시장만	둘 다 아니다	B	재화 시장에서 기업은 판매자(공급)이고, 생산요소 시장에서 기업은 구매자(수요)이다.
3	"무역이 나라 전체에 이롭지만, 개별 근로자의 일자리를 빼앗는다"는 주장을 경제학적으로 평가하면?	맞다 (총잉여 증가 vs 실업 증가의 상충)	틀렸다 (다른 일자리가 생긴다)	장기 vs 단기로 구분 필요 (장기에 새 일자리 창출)	A와 C가 모두 타당하다	D	경제학적으로 총잉여는 증가하지만, 현실의 조정 과정에서 실업 발생 가능. 장기에는 재배치되지만 단기 고통은 실제. ---
